P,r,epsilon,reject_rate,k,max_seconds_divisor,time_limit(s),T0_block_divisor,prob_rotate,prob_swap,prob_move,,,,,,,,,,,,,,,
0.95,0.9,0.0001,0.99,20,10,1195,1,1/3,1/3,1/3,,,,,,,,,,,,,,,
,0.9,,,40,,,100,,,,,,,,,,,,,,,,,,
,0.85,,,40,,,100,1/3,1/3,1/3,,,,,,,,,,,,,,,
,0.8,,,40,,,,,,,,,,,,,,,,,,,,,
,0.75,,,40,,,,,,,,,,,,,,,,,,,,,
,0.7,,,40,,,,,,,,,,,,,,,,,,,,,
,0.65,,,40,,,,,,,,,,,,,,,,,,,,,
,0.6,,,40,,,,,,,,,,,,,,,,,,,,,
,0.9,,,40,,,,0.1,0.8,0.1,,,,,,,,,,,,,,,
,0.85,,,40,,,,0.1,0.8,0.1,,,,,,,,,,,,,,,
,0.85,,,35,,,100,0.1,0.8,0.1,,,,,,,,,,,,,,,
,0.85,,,35,,,,1/3,1/3,1/3,,,,,,,,,,,,,,,
